x:,-3.0,-2.988,-2.976,-2.964,-2.952,-2.94,-2.928,-2.916,-2.904,-2.892,-2.88,-2.868,-2.856,-2.844,-2.832,-2.82,-2.808,-2.796,-2.784,-2.772,-2.76,-2.748,-2.736,-2.724,-2.712,-2.7,-2.688,-2.676,-2.664,-2.652,-2.64,-2.628,-2.616,-2.604,-2.592,-2.58,-2.568,-2.556,-2.544,-2.532,-2.52,-2.508,-2.496,-2.484,-2.472,-2.46,-2.448,-2.436,-2.424,-2.412,-2.4,-2.388,-2.376,-2.364,-2.352,-2.34,-2.328,-2.316,-2.304,-2.292,-2.28,-2.268,-2.256,-2.244,-2.232,-2.22,-2.208,-2.196,-2.184,-2.172,-2.16,-2.148,-2.136,-2.124,-2.112,-2.1,-2.088,-2.076,-2.064,-2.052,-2.04,-2.028,-2.016,-2.004,-1.992,-1.98,-1.968,-1.956,-1.944,-1.932,-1.92,-1.908,-1.896,-1.884,-1.872,-1.86,-1.848,-1.836,-1.824,-1.812,-1.8,-1.788,-1.776,-1.764,-1.752,-1.74,-1.728,-1.716,-1.704,-1.692,-1.68,-1.668,-1.656,-1.644,-1.632,-1.62,-1.608,-1.596,-1.584,-1.572,-1.56,-1.548,-1.536,-1.524,-1.512,-1.5,-1.488,-1.476,-1.464,-1.452,-1.44,-1.428,-1.416,-1.404,-1.392,-1.38,-1.368,-1.356,-1.344,-1.332,-1.32,-1.308,-1.296,-1.284,-1.272,-1.26,-1.248,-1.236,-1.224,-1.212,-1.2,-1.188,-1.176,-1.164,-1.152,-1.14,-1.128,-1.116,-1.104,-1.092,-1.08,-1.068,-1.056,-1.044,-1.032,-1.02,-1.008,-0.996,-0.984,-0.972,-0.96,-0.948,-0.936,-0.924,-0.912,-0.9,-0.888,-0.876,-0.864,-0.852,-0.84,-0.828,-0.816,-0.804,-0.792,-0.78,-0.768,-0.756,-0.744,-0.732,-0.72,-0.708,-0.696,-0.684,-0.672,-0.66,-0.648,-0.636,-0.624,-0.612,-0.6,-0.588,-0.576,-0.564,-0.552,-0.54,-0.528,-0.516,-0.504,-0.492,-0.48,-0.468,-0.456,-0.444,-0.432,-0.42,-0.408,-0.396,-0.384,-0.372,-0.36,-0.348,-0.336,-0.324,-0.312,-0.3,-0.288,-0.276,-0.264,-0.252,-0.24,-0.228,-0.216,-0.204,-0.192,-0.18,-0.168,-0.156,-0.144,-0.132,-0.12,-0.108,-0.096,-0.084,-0.072,-0.06,-0.048,-0.036,-0.024,-0.012,0.0,0.012,0.024,0.036,0.048,0.06,0.072,0.084,0.096,0.108,0.12,0.132,0.144,0.156,0.168,0.18,0.192,0.204,0.216,0.228,0.24,0.252,0.264,0.276,0.288,0.3,0.312,0.324,0.336,0.348,0.36,0.372,0.384,0.396,0.408,0.42,0.432,0.444,0.456,0.468,0.48,0.492,0.504,0.516,0.528,0.54,0.552,0.564,0.576,0.588,0.6,0.612,0.624,0.636,0.648,0.66,0.672,0.684,0.696,0.708,0.72,0.732,0.744,0.756,0.768,0.78,0.792,0.804,0.816,0.828,0.84,0.852,0.864,0.876,0.888,0.9,0.912,0.924,0.936,0.948,0.96,0.972,0.984,0.996,1.008,1.02,1.032,1.044,1.056,1.068,1.08,1.092,1.104,1.116,1.128,1.14,1.152,1.164,1.176,1.188,1.2,1.212,1.224,1.236,1.248,1.26,1.272,1.284,1.296,1.308,1.32,1.332,1.344,1.356,1.368,1.38,1.392,1.404,1.416,1.428,1.44,1.452,1.464,1.476,1.488,1.5,1.512,1.524,1.536,1.548,1.56,1.572,1.584,1.596,1.608,1.62,1.632,1.644,1.656,1.668,1.68,1.692,1.704,1.716,1.728,1.74,1.752,1.764,1.776,1.788,1.8,1.812,1.824,1.836,1.848,1.86,1.872,1.884,1.896,1.908,1.92,1.932,1.944,1.956,1.968,1.98,1.992,2.004,2.016,2.028,2.04,2.052,2.064,2.076,2.088,2.1,2.112,2.124,2.136,2.148,2.16,2.172,2.184,2.196,2.208,2.22,2.232,2.244,2.256,2.268,2.28,2.292,2.304,2.316,2.328,2.34,2.352,2.364,2.376,2.388,2.4,2.412,2.424,2.436,2.448,2.46,2.472,2.484,2.496,2.508,2.52,2.532,2.544,2.556,2.568,2.58,2.592,2.604,2.616,2.628,2.64,2.652,2.664,2.676,2.688,2.7,2.712,2.724,2.736,2.748,2.76,2.772,2.784,2.796,2.808,2.82,2.832,2.844,2.856,2.868,2.88,2.892,2.904,2.916,2.928,2.94,2.952,2.964,2.976,2.988,3.0
dkappa = 0.1
kappa_1:,0.5,0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.0,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3.0,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4.0
kappa_2:,	 0.0,	 0.1,	 0.2,	 0.3,	 0.4,	 0.5,	 0.6,	 0.7,	 0.8,	 0.9,	 1.0,	 1.1,	 1.2,	 1.3,	 1.4,	 1.5,	 1.6,	 1.7,	 1.8,	 1.9,	 2.0

Trials:
kappa_1,kappa_2,eigenvalue,solve time (s)
0.5,0.0,0.7131322931464982,0.3042309284210205
0.5,0.1,0.8184033196183156,0.31671595573425293
0.5,0.2,0.8942718302057383,0.17256808280944824
0.5,0.3,0.955587215315444,0.3898589611053467
0.5,0.4,1.0079824436608877,0.21544313430786133
0.5,0.5,1.0542320104524652,0.218156099319458
0.5,0.6,1.0959303826966755,0.17520785331726074
0.5,0.7,1.1340903022041322,0.19105219841003418
0.5,0.8,1.169401351244536,0.14858007431030273
0.5,0.9,1.2023576175538795,0.14899301528930664
0.5,1.0,1.2333271564426669,0.21784496307373047
0.5,1.1,1.262592673591452,0.1998908519744873
0.5,1.2,1.2903767667955401,0.19370198249816895
0.5,1.3,1.316858329659097,0.2519230842590332
0.5,1.4,1.3421836256208515,0.3893589973449707
0.5,1.5,1.3664740038524603,0.14604592323303223
0.5,1.6,1.3898314236399614,0.14809799194335938
0.5,1.7,1.412342501227993,0.16308283805847168
0.5,1.8,1.434081534899608,0.29642701148986816
0.5,1.9,1.4551128066657784,0.25316405296325684
0.5,2.0,1.4754923605282464,0.16614723205566406
0.6,0.0,0.7783657432131939,0.236572265625
0.6,0.1,0.8723036853126293,0.24234604835510254
0.6,0.2,0.9422811046943554,0.1647348403930664
0.6,0.3,0.9997801008615181,0.22832393646240234
0.6,0.4,1.0494078698054692,0.1615149974822998
0.6,0.5,1.0935122921373477,0.1750328540802002
0.6,0.6,1.1334737464455418,0.3225700855255127
0.6,0.7,1.1701834320054525,0.1586899757385254
0.6,0.8,1.2042557054138239,0.19315767288208008
0.6,0.9,1.2361350445390331,0.18965387344360352
0.6,1.0,1.2661551602023695,0.1667940616607666
0.6,1.1,1.294574054204559,0.15923500061035156
0.6,1.2,1.321595996010789,0.19050812721252441
0.6,1.3,1.3473859292011614,0.15642809867858887
0.6,1.4,1.37207926866286,0.20511412620544434
0.6,1.5,1.395788771715222,0.1460561752319336
0.6,1.6,1.4186094844184653,0.14786100387573242
0.6,1.7,1.4406223836669765,0.13347887992858887
0.6,1.8,1.4618971115471884,0.14567804336547852
0.6,1.9,1.4824940638520638,0.1378166675567627
0.6,2.0,1.5024660103482557,0.13544774055480957
0.7,0.0,0.8390817948738913,0.21744990348815918
0.7,0.1,0.9236873154319682,0.15820789337158203
0.7,0.2,0.9885427631096364,0.15368866920471191
0.7,0.3,1.042626762588126,0.15310311317443848
0.7,0.4,1.0897341717144764,0.16690611839294434
0.7,0.5,1.1318615431275516,0.15270519256591797
0.7,0.6,1.1702082253788848,0.14232897758483887
0.7,0.7,1.205560666022927,0.33680009841918945
0.7,0.8,1.2384674474670765,0.16171693801879883
0.7,0.9,1.269329175372293,0.3753690719604492
0.7,1.0,1.2984489086575894,0.18980813026428223
0.7,1.1,1.3260624326252386,0.18821406364440918
0.7,1.2,1.3523574275723558,0.26849818229675293
0.7,1.3,1.377486140509492,0.1605372428894043
0.7,1.4,1.401574065371139,0.16459393501281738
0.7,1.5,1.4247260686422898,0.13264203071594238
0.7,1.6,1.4470308235879623,0.13548064231872559
0.7,1.7,1.4685640908594237,0.27773594856262207
0.7,1.8,1.4893911926613965,0.1622159481048584
0.7,1.9,1.5095689097463147,0.1602928638458252
0.7,2.0,1.5291469578584018,0.18474888801574707
0.8,0.0,0.8960177563517477,0.1528010368347168
0.8,0.1,0.9728415011843639,0.13936805725097656
0.8,0.2,1.0332127233525967,0.1939232349395752
0.8,0.3,1.0842274230013802,0.15219879150390625
0.8,0.4,1.1290323948798864,0.18797898292541504
0.8,0.5,1.1693333805721253,0.13516688346862793
0.8,0.6,1.206176071632834,0.14443087577819824
0.8,0.7,1.2402563695317859,0.15632104873657227
0.8,0.8,1.2720652091440863,0.16676592826843262
0.8,0.9,1.3019643222416422,0.15509891510009766
0.8,1.0,1.3302293655004127,0.2604200839996338
0.8,1.1,1.3570761159217426,0.1588430404663086
0.8,1.2,1.382677219659035,0.16963481903076172
0.8,1.3,1.407173355367565,0.13852500915527344
0.8,1.4,1.430680934908845,0.21237993240356445
0.8,1.5,1.4532975713695733,0.1388721466064453
0.8,1.6,1.4751060583354878,0.18315887451171875
0.8,1.7,1.496177328259364,0.14859604835510254
0.8,1.8,1.5165726926882315,0.2085869312286377
0.8,1.9,1.5363455668822734,0.16244721412658691
0.8,2.0,1.5555428168893366,0.2200021743774414
0.9,0.0,0.9497470686820667,0.3608429431915283
0.9,0.1,1.0200069116892838,0.22229719161987305
0.9,0.2,1.076426901546709,0.22629213333129883
0.9,0.3,1.1246715533771763,0.29531407356262207
0.9,0.4,1.1673669697828257,0.16698384284973145
0.9,0.5,1.2059769778995197,0.1390688419342041
0.9,0.6,1.2414163642451952,0.13933205604553223
0.9,0.7,1.2743025378348443,0.14072203636169434
0.9,0.8,1.305075791048458,0.1553957462310791
0.9,0.9,1.3340633437353095,0.17830610275268555
0.9,1.0,1.3615163151425878,0.1468191146850586
0.9,1.1,1.3876324370628939,0.1544802188873291
0.9,1.2,1.4125707138136439,0.13241887092590332
0.9,1.3,1.4364612717895107,0.15515804290771484
0.9,1.4,1.4594122005937997,0.17416882514953613
0.9,1.5,1.481514439849894,0.15573406219482422
